domain,term,definition,source
N/A,Capital transfers,"Unrequited transfers, either in cash or in kind, linked to the acquisition, disposal, or transfer of an asset (other than cash or inventories) or where a liability is forgiven or assumed or where the transfers are intended to address accumulated losses incurred over a multiyear period.",IMF
N/A,Capital transfers not elsewhere classified (relevant for GFS),"Capital transfers between government and individuals, private nonprofit institutions, nongovernmental foundations, or corporations. They are distinct from capital grants, which are to/from other government units or international organizations.",IMF
N/A,Captive financial institutions,"Institutional units providing financial services, where most of either their assets or liabilities are not transacted on open financial markets. They usually act as a financial agent for their affiliates, raising funds for lending to their affiliates or for purchase of their affiliates’ assets.",IMF
N/A,Captive financial institutions and money lenders,"Subsector of financial corporations; for more details, see the relevant components.",IMF
N/A,Cash,Liquid financial instruments that are widely accepted in an economy as a medium of exchange.,IMF
N/A,Cash basis of recording / Cash accounting,Recording of flows at the time the cash is received or disbursed.,IMF
N/A,Cash-equivalent instruments,"Liquid financial instruments that can be converted into a medium of exchange at short notice at, or close to, their full nominal value.",IMF
N/A,Cash-pooling arrangement,"Financial arrangement where multiple bank accounts are consolidated into a single account, allowing efficient cash management, liquidity optimization, and centralized control over funds within an enterprise group.",IMF
N/A,Catastrophic losses,"Losses that are the result of large-scale, discrete, and recognizable events that may destroy a significantly large number of assets within any of the asset categories.",IMF
N/A,Center of predominant economic interest,"An institutional unit has a center of predominant economic interest in an economic territory when there exists, within the economic territory, some location, dwelling, place of production, or other premises on which or from which the unit engages and intends to continue engaging, either indefinitely or over a finite but long period of time, in economic activities and transactions on a significant scale. Actual or intended location for one year or more is used as an operational definition.",IMF
N/A,Central bank,"Financial institution (or institutions) that exercises control over key aspects of the financial system. Its principal functions generally include conducting monetary policy, including issuing currency and regulating money supply and credit; managing international reserves and the payments system; promoting financial stability, including regulation and macroprudential supervision; and acting as banker to government.",IMF
N/A,Central bank digital currencies (CBDCs),Digital version of the fiat currencies issued by central banks.,IMF
N/A,Central bank swap arrangements,"Assets created under reciprocal facilities (swap arrangements) for the temporary exchange of deposits between the central banks of two economies. Within macroeconomic statistics, these are treated as an exchange of deposits and not as financial derivatives.",IMF
N/A,Central clearing counterparty,"Financial institution principally providing the clearing and settlement of transactions in securities and derivatives. Clearing relates to identifying the obligations of both parties to the transaction, while settlement is the exchange of the securities or derivatives and the corresponding payment.",IMF
N/A,Central government,"Part of the general government that includes all administrative departments of the national executive, legislative, and judicial functions; other central agencies; and those nonmarket producers controlled by the central government, whose competence extends normally over the whole economic territory. All these resident units (with their territorial enclaves abroad) are included. Social security funds organized and managed by different levels of the government are typically classified in a separate subsector of the general government. Alternatively, social security funds that are organized and managed by the central government could be included in the central government subsector.",IMF
N/A,Central Product Classification (CPC),Classification based on the physical characteristics of goods or on the nature of the services rendered; each type of good or service distinguished in the CPC is defined in such a way that it is normally produced by only one activity as defined in the ISIC.,IMF
N/A,Certificates of deposit,Negotiable certificates issued by a bank acknowledging a deposit in that bank for a specified period of time at a specified interest rate. Certificates of deposits are generally classified as debt securities.,IMF
N/A,Chain indices,"Index for a longer period of time, which is obtained by linking price (or volume) indices that use different base periods (usually linking indices with the previous period as the base period). In doing so, the short-term movements that are linked are calculated using weighting patterns most appropriate to the periods concerned.",IMF
N/A,Changes in classification / Reclassifications,Changes in assets and liabilities resulting from changes in sector classification and structure (among which are changes in assets and liabilities arising from units changing their economy of residence) and those resulting from changes in the classification of assets and liabilities.,IMF
N/A,Changes in inventories,Value of entries into inventories less the value of withdrawals and less the value of any recurrent losses of goods held in inventories during the accounting period.,IMF
N/A,Changes in net worth,Balance of changes in the value of stocks and positions on the balance sheet due to (i) savings and capital transfers; (ii) nominal holding gains and losses; and (iii) other changes in the volume of assets and liabilities.,IMF
N/A,Changes in net worth due to nominal holding gains and losses,Balance of changes in the value of all assets and liabilities of an institutional unit due to holding gains and losses.,IMF
N/A,Changes in net worth due to other changes in the volume of assets and liabilities,"Balance of changes in the value of stocks and positions on the balance sheet due to factors other than transactions and holding gains and losses (e.g., catastrophic losses, uncompensated seizures, and appearance and disappearance of assets and liabilities other than by transactions).",IMF
N/A,Changes in net worth due to saving and capital transfers,Balance of changes in the value of stocks and positions on the balance sheet due to savings and capital transfers. It also reflects the positive or negative amount available to the unit or sector for the acquisition of nonfinancial and financial assets.,IMF
N/A,Charges for the use of intellectual property n.i.e. (relevant for BPM),"Charges for licenses to use proprietary rights from research and development (such as patents, copyrights, industrial processes and designs, and trade secrets) as well as from marketing (such as franchises, trademarks, and brand names) and charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, data and databases, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",IMF
N/A,Claims of pension funds on pension sponsors,"Claims of defined benefit pension funds on their sponsors to cover any shortfalls on the value of accumulated assets compared with the pension liabilities of the fund, which are also the pension entitlements of households. In case of a surplus, the claims are recorded as negative assets of the pension fund.",IMF
N/A,Classification of Individual Consumption by Purpose (COICOP),"Classification based on the purpose of the goods and services, used for classifying both individual consumption expenditure and actual individual consumption.",IMF
N/A,Classification of Outlays of Producers by Purpose (COPP),"Classification based on the purpose of outlays of producers, used for classifying expenditures by producers (intermediate consumption, remuneration of employees, etc.).",IMF
N/A,Classification of the Functions of Government (COFOG),"Classification based on the socioeconomic objectives of government functions, used for classifying expenditures by the general government and its subsectors.",IMF
N/A,Classification of the Purposes of Nonprofit Institutions (COPNI),"Classification based on socioeconomic objectives, used to classify current transactions, capital outlays, and acquisition of financial assets by NPISHs.",IMF
N/A,Clean price,Market price of a debt security excluding the accrued interest not yet payable between coupon dates.,IMF
N/A,Co-circulation,"Use of a foreign currency as a generally accepted medium of exchange in the economic territory, in parallel with the domestic currency.",IMF
N/A,Collateralized debt obligations,"Debt securities created through securitization, whose payments of interest and principal are dependent on payments of a pool of loan and bond instruments, either purchased in the secondary market or from the balance sheet of a commercial bank.",IMF
N/A,Collateralized mortgage obligations,"Debt securities created through securitization, whose payments of interest and principal are dependent on payments of a pool of mortgage loans.",IMF
N/A,Collective consumption expenditure,"Expenditure on services provided simultaneously to all members of the community or to all members of a particular section of the community. Collective final consumption expenditure is only measured for the general government; the central bank; and, occasionally, NPISHs.",IMF
N/A,Collective consumption service,"Service provided simultaneously to all members of the community or to all members of a particular section of the community, such as all households living in a particular region.",IMF
N/A,Commercial paper,Discounted and unsecured debt security issued by a corporation that promises to pay to the holder a certain amount on a stated maturity date.,IMF
N/A,Commitments basis of recording / Commitments-based accounting,Recording of flows at the time when an institutional unit has committed itself to a transaction.,IMF
N/A,Compensation payments,"Transfers paid by institutional units to other institutional units in compensation for injury to persons, damage to property, or other losses (usually caused by the former) that are not settled as payments of non–life insurance claims.",IMF
N/A,Compulsory transactions,"Payments required by the government, courts of law, or quasi-judicial processes that relate to activities, goods, or assets not owned by the government, courts, or quasi-judicial institutions.",IMF
N/A,Computer services (relevant for BPM),Hardware- and software-related services.,IMF
N/A,"Computer software, data, and databases","Nonfinancial asset category, grouping together computer software, including artificial intelligence, and data and databases, used in production for more than one year.",IMF
N/A,"Computer software, including artificial intelligence systems / Computer software","Computer programs, program descriptions, and supporting materials for both systems and applications software that are expected to be used in production for more than one year. It also includes artificial intelligence systems.",IMF
N/A,Concessional loans,"Loans intentionally provided at a contractual interest rate below-market interest rates, for similar grace and repayment periods as equivalent market loans, with the purpose to convey a benefit, occurring in a noncommercial context.",IMF
N/A,Conduit,Unit that principally raises funds on open financial markets for passing on to other affiliated enterprises. Conduits are a subset of captive financial institutions.,IMF
N/A,Consolidated financial statements,"Statements in which the assets, liabilities, net worth, revenue, expenses, and cash flows of a controlling entity and its controlled entities are presented as those of a single economic entity.",IMF
N/A,Consolidation,Elimination of stocks and flows that occur between institutional units that are grouped together for statistical purposes and presented as if they constituted a single unit.,IMF
N/A,Construction (relevant for BPM),"Creation, renovation, repair, or extension of nonfinancial assets in the form of buildings; land improvements of an engineering nature; and other such engineering constructions as roads, bridges, dams, and so forth. It also includes related installation and assembly work and site preparation and general construction as well as specialized services such as painting, plumbing, and demolition and management of construction projects.",IMF
N/A,Constructive liabilities,"Obligations established not by contract but by long and well-recognized custom that is not easily refuted. In these cases, the creditor has a valid expectation of payment despite the lack of a legally binding contract. Generally, these obligations are not recognized as financial assets and liabilities.",IMF
N/A,Consumer durables,"Goods acquired by households that are used for the purposes of consumption repeatedly or continuously over a period of a year or more, like vehicles, furniture, or electrical equipment. They are used for consumption (final consumption expenditure) and not for production (fixed assets).",IMF
N/A,Consumer price index,Index of the prices of consumption goods and services as compared to a certain reference period (t = 100).,IMF
N/A,Consumption good or service,"A good or service that is used (without further transformation in production as defined in the integrated framework of the SNA) by households, government units, the central bank, and NPISHs for the direct satisfaction of individual needs (or wants) or for the collective needs of members of the community.",IMF
N/A,Consumption of goods and services,The act of completely using up the goods and services in a process of production or for the direct satisfaction of human needs or wants.,IMF
