domain,term,definition,source
N/A,Intermediate consumption,"Goods and services consumed as inputs by a process of production, excluding fixed assets whose consumption is recorded as depreciation.",IMF
N/A,International investment position,Statement that shows at a particular point in time the value and composition of financial assets of the residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets and of the liabilities of the residents of an economy to nonresidents.,IMF
N/A,International organization,Organization whose members are either national states or other international organizations whose members are national states and which is established by formal political agreements between the members that have the status of international treaties.,IMF
N/A,International Standard Industrial Classification of All Economic Activities (ISIC),"Classification based on the principal productive activity, used for classifying producers by economic activity.",IMF
N/A,Intersectoral consolidation,Consolidation of a particular grouping of units spanning several institutional sectors or subsectors to produce statistics for that particular grouping.,IMF
N/A,Intra-sectoral consolidation,"Consolidation within a particular sector, or subsector, to produce statistics for that particular sector or subsector.",IMF
N/A,Inventories,"Produced assets that consist of goods and services that came into existence in the current period or in an earlier period and that are held for sale, use in production, or other use at a later date.",IMF
N/A,Inventories (excluding produced natural resources),"Produced assets that consist of goods and services that came into existence in the current period or in an earlier period and that are held for sale, use in production, or other use at a later date. Work in progress related to biological resources is excluded and grouped together with other natural resources.",IMF
N/A,Inverse merchanting,"A special case of merchanting, occurring when both the unit that is selling to the nonresident merchant and the unit that is subsequently purchasing from the nonresident merchant are resident in the same economy and the goods do not leave and reenter the economy of the units selling to and purchasing from the nonresident merchant.",IMF
N/A,Investment fund shares/units,"Shares or units issued by investment funds, including money market funds and non–money market funds, that represent claims on part of the value of an established investment fund.",IMF
N/A,Investment funds,Collective investment undertakings through which investors pool funds for investment in financial or nonfinancial assets or both. Investment funds include money market funds and non–money market investment funds.,IMF
N/A,Investment grants,Capital transfers made by governments or international organizations to other institutional units to finance all or part of the costs of their acquiring nonfinancial assets.,IMF
N/A,Investment income,Income receivable by the owner of a financial asset in return for providing funds to another institutional unit.,IMF
N/A,Investment income attributable to insurance policyholders,"Investment income receivable from the investment of insurance technical reserves, which is attributed to the policyholders.",IMF
N/A,Investment income attributable to investment fund shareholders,"Dividends and retained earnings of investment funds, which are attributable to the shareholders.",IMF
N/A,Investment income attributable to the surplus/shortfall in defined benefit pension funds,Investment income imputed on the claim of a pension fund toward its pension sponsor.,IMF
N/A,Investment income disbursements,"The sum of investment income attributable to insurance policyholders, investment income payable on pension and non-pension entitlements, and investment income attributable to investment fund shareholders.",IMF
N/A,Investment income payable on pension and non-pension entitlements,Investment income received from the investment of assets accumulated for defined contribution schemes and the unwinding of the discount of the entitlements for defined benefit schemes. The latter may also include some entitlements related to non-pension social insurance schemes.,IMF
N/A,Invoiced value added tax (VAT),"VAT payable on the sales of a producer, shown separately on the invoice that the producer presents to the purchaser.",IMF
N/A,Inward direct investment (relevant for BPM) / Direct investment in the reporting economy (relevant for BPM) / Inward foreign direct investment / Foreign direct investment in the reporting economy,All direct investment liabilities less assets between resident direct investment enterprises and their direct investors. It also covers all direct investment liabilities less assets between resident and nonresident fellow enterprises if the ultimate controlling parent is nonresident.,IMF
N/A,Islamic finance,The provision of financial services in accordance with Shariah principles.,IMF
N/A,Islamic financial institution,"Financial institution that follows the principles of Shariah. Shariah, which denotes the Islamic law that governs the entire framework of activities in Islam, includes law regulating economic and financial activities to ensure fair transactions as well as social economic justice. Shariah prohibits financial transactions associated with interest for lending and borrowing, excessive uncertainty, speculation, or gambling; however, trading or transactions entailing a chance of gain or risk of loss are allowed.",IMF
N/A,Islamic window,That part of a conventional financial institution (which may be a branch or dedicated unit of that institution) that provides both fund management (investment accounts) and financing and investment that are Shariah compliant with separate funds. It could also provide takaful or retakaful services.,IMF
N/A,Issue price,Price at which investors buy a debt security when first issued.,IMF
N/A,Jobs,Contracts between employees and resident institutional units to provide labor in return for remuneration for a defined period or until further notice. The concept of jobs also applies to self-employed persons.,IMF
N/A,Joint venture,Contractual agreement between two or more parties for the purpose of executing a business undertaking in which the parties agree to share in the profits and losses of the enterprise as well as the capital formation and contribution of operating inputs or costs. It is similar to a partnership but typically differs in that there is generally no intention of a continuing relationship beyond the original purpose.,IMF
N/A,Kind-of-activity unit,"An enterprise, or a part of an enterprise, that engages in only one kind of productive activity or in which the principal productive activity accounts for most of the value added. A kind-of-activity unit must be more homogeneous with respect to output, cost structure, and technology of production than the enterprise as a whole.",IMF
N/A,Knowledge-capturing products,"Products that concern the provision, storage, communication, and dissemination of information, advice, and entertainment in such a way that the consuming unit can access the knowledge repeatedly.",IMF
N/A,Labor force / Economically active population,All resident persons who are actively prepared to make their labor available during any particular reference period for producing goods and services that are included within the production boundary applied in the integrated framework of the SNA.,IMF
N/A,Labor input,"All persons, both employees and self-employed persons, engaged in some productive activity that falls within the production boundary of the integrated framework of the SNA and that is undertaken by a resident institutional unit.",IMF
N/A,Land,"Ground, including the soil covering and any associated surface waters, over which ownership rights are enforced and from which economic benefits can be derived by their owners by holding or using them.",IMF
N/A,Land improvements,"Result of actions that lead to major improvements in the quantity, quality, or productivity of land or prevent its deterioration. Such improvements are recorded as capital formation, and the additional value is shown as a separate asset within produced nonfinancial assets (excluding natural resources).",IMF
N/A,Laspeyres price (or volume) index,Index calculated as the weighted arithmetic average of price (or volume) relatives using the values (or volumes) of the earlier period as weights.,IMF
N/A,Lease,"Agreement whereby the lessor conveys to the lessee, in return for a payment or series of payments, the right to use an asset for an agreed period of time.",IMF
N/A,Legal entity / Social entity,"A unit whose existence is recognized by law or society independently of the persons, or other units, that may own or control it.",IMF
N/A,Legal obligations,"Obligation derived from a contract (through its explicit or implicit terms), legislation, or another operation of law.",IMF
N/A,Legal owner,"The institutional unit entitled in law and sustainable under the law to claim the economic benefits associated with goods, services, natural resources, and financial assets or liabilities (which may be different from the economic owner).",IMF
N/A,Legally constituted corporations,Legal entities created for the purpose of producing goods or services for the market that may be a source of profit or other financial gain to its owner(s). They are collectively owned by shareholders who have the authority to appoint directors responsible for its general management.,IMF
N/A,Liabilities / Financial liabilities,"Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations.",IMF
N/A,Life insurance,"Activity whereby a policyholder makes regular payments to an insurer in return for which the insurer guarantees to provide the policyholder (or, in some cases, another nominated person) with an agreed sum, or an annuity, at a given date or earlier if the policyholder dies beforehand. It excludes term life insurance.",IMF
N/A,Life insurance and annuity entitlements,Financial claims of policyholders against an institutional unit offering life insurance or providing annuities.,IMF
N/A,Limited liability entity,A legal entity where the owners’ liability is limited to the amount of their investment in the company. This means that the personal assets of the owners are generally protected from the debts and obligations of the business.,IMF
N/A,Liquidating dividends,"Dividends payable to shareholders as a result of an enterprise becoming bankrupt, after settling all other obligations.",IMF
N/A,Liquidity,"Ability to sell assets quickly and in large volume without substantially affecting their price. In terms of financial instruments, liquidity generally refers to those assets that can be converted into a medium of exchange quickly without a significant loss in value.",IMF
N/A,Liquidity risk,Risk related to meeting obligations associated with financial liabilities that are settled by delivering cash or another financial asset.,IMF
N/A,Listed shares / Quoted shares,Equity securities listed on an exchange (also known as quoted shares).,IMF
N/A,Loans,Financial assets that are created when a creditor lends funds directly to a debtor and are evidenced by documents that are not negotiable.,IMF
N/A,Local government,"Part of the general government that includes all institutional units whose fiscal, legislative, and executive authority extends over the smallest geographical areas distinguished for administrative and political purposes as well as those nonmarket producers controlled by local governments. Social security funds organized and managed by different levels of the government are typically classified in a separate subsector of the general government. Alternatively, social security funds that are organized and managed by local governments could be included in the local government’s subsector.",IMF
N/A,Local unit,"An enterprise, or a part of an enterprise, that engages in productive activity at or from one location.",IMF
N/A,Long-term maturity,Maturity of more than one year or with no stated maturity.,IMF
N/A,Machinery and equipment,"Transport equipment; machinery for information, communication, and telecommunications equipment; and other machinery and equipment used for production purposes.",IMF
N/A,Maintenance and repair services n.i.e. (relevant for BPM),Maintenance and repair work by residents on goods that are owned by nonresidents (and vice versa).,IMF
N/A,Manufacturing services on physical inputs owned by others,"Services related to processing, assembly, labeling, packing, and so forth undertaken by enterprises that do not own the goods concerned.",IMF
N/A,Margins,"Collateral provided to cover potential obligations. The required provision of margin reflects counterparty risk and is standard in financial derivative markets, especially for futures and exchange-traded options.",IMF
N/A,Market output,Output intended for sale at economically significant prices.,IMF
N/A,Market prices / Market values,"Amounts of money that willing buyers pay to acquire something from willing sellers. Exchanges are made between independent parties and on the basis of commercial considerations only, sometimes called “at arm’s length.”",IMF
N/A,Market producers,"Establishments all, or most, of whose output is market output.",IMF
N/A,Market risk,"Risk related to fluctuations in the value or the future cash flows of a financial instrument. Market risk comprises three types of risk: currency risk, interest rate risk, and other price risk.",IMF
N/A,Market-equivalent prices / Market–equivalent values,"Valuation method to approximate market prices by using the prices of similar goods, services, or assets adequately adjusted for differences in characteristics.",IMF
N/A,Marketable operating leases,Third-party property rights relating to leased fixed assets.,IMF
N/A,Marketing assets,"Items such as brand names, mastheads, trademarks, logos, and domain names.",IMF
N/A,Materials and supplies,All products that a producer holds in inventory with the intention of using them as intermediate inputs into own production and not to resell them.,IMF
N/A,Maturity,Period at the end of which a financial instrument will cease to exist and the principal is repaid with interest.,IMF
N/A,Means of payment,"Refers to the instrument used to make the payment, such as cash, check, debit/credit card, stablecoins, or crypto assets without corresponding liability (e.g., Bitcoins).",IMF
N/A,Medium of exchange,"A means for acquiring goods, services, or assets without resorting to barter. Acting as a medium of exchange is one of the basic functions of money, which takes the form of various types of financial instruments.",IMF
N/A,Memorandum items,"Additional items of special analytical interest, which are added to the presentation but do not impact the totals and balancing items derived from the macroeconomic system.",IMF
N/A,Merchanting,Purchase of goods by a resident (of the compiling economy) from a nonresident combined with the subsequent resale of the same goods to another nonresident without the goods being physically moved in and out of the compiling economy.,IMF
N/A,Merger,When two or more companies agree to combine into a single operation.,IMF
N/A,Metadata,"Systematic, descriptive information about data content and organization, providing information on the concepts, sources, and methods underlying the data and therefore helping users to understand and assess the characteristics of the data.",IMF
N/A,Migrants’ personal items (relevant for BPM),Personal property that accompanies people changing residence.,IMF
N/A,Military inventories,"Inventories consisting of single-use items, such as ammunition, missiles, rockets, bombs, and so on, delivered by weapons or weapons systems.",IMF
N/A,Mineral and energy resources,"Known deposits of oil resources, natural gas resources, coal and peat resources, nonmetallic minerals, and metallic minerals located on or below the earth’s surface and renewable energy resources (especially related to the capture of energy from wind, solar radiation, moving water, and geothermal sources) that are economically exploitable, given current technology and relative prices.",IMF
N/A,Mineral exploration and evaluation,Capitalized value of expenditures on exploration for mineral and energy deposits and the subsequent evaluation of the discoveries.,IMF
N/A,Miscellaneous current transfers,"Current transfers, in cash or in kind, other than current taxes on income, wealth, and so on; social contributions less service charges and social benefits; non–life insurance premiums less service charges and non–life insurance claims; current transfers within the general government; and current international cooperation. In external accounts, miscellaneous current transfers include all current transfers, in cash or in kind, other than personal transfers; current taxes on income, wealth, and so on; social contributions less service charges and social benefits; non–life insurance premiums less service charges and non–life insurance claims; and current international cooperation.",IMF
N/A,Mixed income,Income earned by an unincorporated enterprise from the use of the owner’s labor and capital in the production of goods and services during an accounting period.,IMF
N/A,Monetary authorities,"Authorities encompassing the central bank (which subsumes other institutional units included in the central bank subsector, such as the currency board) and certain operations usually attributed to the central bank but sometimes carried out by other government institutions or commercial banks, such as government-owned commercial banks. Such operations include the issuance of currency; maintenance and management of reserve assets, including those resulting from transactions with the IMF; and operation of exchange stabilization funds.",IMF
N/A,Monetary base,Central bank liabilities that support the expansion of credit and broad money.,IMF
N/A,Monetary gold,Gold to which the monetary authorities (or others who are subject to the effective control of the monetary authorities) have title and is held as a reserve asset. It comprises gold bullion (including gold held in allocated gold accounts) and unallocated gold accounts with nonresidents that give title to claim the delivery of gold.,IMF
N/A,Monetary presentation (relevant for BPM),"Presentation showing the link between the balance of payments and monetary and financial statistics. It identifies the transactions of the deposit-taking corporations (plus money market funds, if their liabilities are included in the definition of broad money), which are equal to transactions in the foreign assets and liabilities of the same entities, as recorded in monetary and financial statistics.",IMF
N/A,Monetary transactions,Transactions in which one institutional unit makes a payment (receives a payment) or incurs a liability (acquires a financial asset) stated in units of currency.,IMF
N/A,Monetary union,"A group of economies with the presence of a single monetary policy among them, established by an intergovernmental legal agreement.",IMF
N/A,Money aggregates,"Measures of money supply in an economy that have progressively broader coverage of money components (M1, M2, M3, etc.).",IMF
N/A,Money market fund shares/units,Shares or units issued by money market funds that represent claims on part of the value of an established money market fund.,IMF
N/A,Money market funds,"Collective investment schemes that raise funds by issuing shares or units to the public and primarily investing in money market instruments, money market fund shares or units, transferable debt instruments with a residual maturity of not more than one year, bank deposits, and instruments that pursue a rate of return that approaches the interest rates of money market instruments.",IMF
N/A,Moneylenders,Persons or groups of persons who offer small personal loans using mostly own funds. Their assets or liabilities are not transacted in open financial markets.,IMF
N/A,Motor vehicle taxes (relevant for GFS),Taxes on the use of motor vehicles or permission to use motor vehicles.,IMF
N/A,Mudaraba,"A partnership contract between the capital provider (rabb al-māl) and an entrepreneur (muḍārib) whereby the capital provider would contribute capital to an enterprise or activity that is to be managed by the entrepreneur. Profits generated by that enterprise or activity are shared in accordance with the percentage specified in the contract, while losses are to be borne solely by the capital provider unless the losses are due to misconduct, negligence, or breach of contracted terms.",IMF
N/A,Multiemployer social insurance scheme / Multi–employer scheme,Social insurance schemes where the assets contributed by multiple employers are pooled together to provide benefits to employees on the basis that contribution and benefit levels are determined without regard to the identity of the employer.,IMF
N/A,Multinational enterprise,Legal entity that has at least one nonresident affiliate or branch and exercises control over its affiliate(s) or branch(es) either directly—by having over 50 percent of the voting power in the unit—or by indirect transmission of control. The multinational enterprise is the ultimate controlling parent—the direct investor at the top of the control chain.,IMF
N/A,Multinational enterprise group / Global enterprise group,The multinational enterprise and the set of units—regardless of their economies of residence—that are under the control of the same ultimate controlling parent.,IMF
N/A,Multiterritory enterprise,"Enterprise that operates as a seamless operation over more than one economic territory. Although the enterprise has substantial activity in more than one economic territory, it is run as an indivisible operation with no separate accounts or decisions so that separate branches cannot be identified. Such enterprises may have operations such as shipping lines, airlines, hydroelectric schemes on border rivers, pipelines, bridges, tunnels, and undersea cables.",IMF
N/A,Musharaka,"Partnership contract in which the partners agree to contribute capital to an enterprise, whether existing or new. Profits generated by that enterprise are shared in accordance with the percentage specified in the mushara contract, while losses are shared in proportion to each partner’s share of capital.",IMF
N/A,National disposable income,Total income available for final consumption expenditure or saving.,IMF
N/A,National net worth,Total value of nonfinancial assets of the residents of an economy plus the balance of financial assets and liabilities of the residents with the rest of the world.,IMF
N/A,National private corporation,Corporation that is neither controlled by a government unit nor by another public unit nor by a nonresident unit.,IMF
N/A,Natural capital,"The combination of natural resources and ecosystem assets, of which the latter are not explicitly recognized as economic assets in the integrated framework of national accounts.",IMF
N/A,Natural resource leases,Contractual agreements whereby the legal owner of a natural resource makes it available to a lessee in return for a regular payment recorded as rent.,IMF
N/A,Natural resources,"Assets that naturally occur, such as land; mineral and energy resources; water resources; and animal, tree, crop, and plant resources, that have an economic value and over which ownership may be enforced and transferred. Environmental assets over which ownership rights have not, or cannot, be enforced, such as high seas beyond national jurisdiction and most parts of the atmosphere, are excluded.",IMF
N/A,Negotiable instruments,"Financial instruments whose legal ownership is readily capable of being transferred from one owner to another by delivery or endorsement. These are designed to be traded on an organized exchange or over the counter, although evidence of actual trading is not required for an instrument to be considered negotiable.",IMF
N/A,Net asset value,"Valuation method for unlisted equity, by using total assets at current value less total liabilities (excluding equity) at market value.",IMF
N/A,Net capital formation,Gross capital formation after deduction of depreciation.,IMF
N/A,Net debt,Amount of debt held by an institutional unit after subtracting the value of financial assets it holds corresponding to debt liabilities of other institutional units.,IMF
N/A,Net financial worth,Total value of financial assets less the total value of liabilities.,IMF
N/A,Net fixed capital formation,Gross fixed capital formation after deduction of depreciation.,IMF
N/A,Net international investment position (relevant for BPM),The value of the financial assets of the residents of an economy that are claims on nonresidents or are gold bullion held as reserve assets less the value of the liabilities of the residents of an economy to nonresidents at a particular point in time.,IMF
N/A,Net international reserves,Reserve assets minus short-term net foreign currency drains.,IMF
N/A,Net lending / Net borrowing,"Net lending is defined as the difference between changes in net worth due to saving and capital transfers and net acquisitions of nonfinancial assets (acquisitions less disposals of nonfinancial assets less depreciation and depletion). If the amount is negative, it represents net borrowing. In external accounts, it represents the sum of the balances on the current and capital accounts. This is conceptually equal to the net balance of the financial account. If the balance is positive, it is called net lending, implying that in net terms, the economy supplies funds to the rest of the world. If the balance is negative, it is called net borrowing, implying that in net terms, the economy receives funds from the rest of the world.",IMF
N/A,Net realizable value,"Estimated selling price in the ordinary course of operations less the estimated costs of completion and the estimated costs necessary to make the sale, exchange, or distribution.",IMF
N/A,Net recording,Recording that reflects aggregations or combinations for which the values of some elementary items are offset against the same items that have an opposite sign. See also “gross and net.”,IMF
N/A,Net recording of financial transactions,Recording of the acquisition of financial assets net of disposals and the incurrence of liabilities net of repayments.,IMF
N/A,Net worth,The value of an institutional unit’s assets less the value of its outstanding liabilities (including shares and other equity).,IMF
N/A,Netting,Occurs in categories such as changes in inventories and increases in assets and liabilities to show the final effect of these types of flows at the end of the accounting period.,IMF
N/A,Nominal value,"Outstanding amount the debtor owes to the creditor, which is composed of the outstanding principal amount including any accrued interest.",IMF
N/A,Non-fungible tokens (NFTs),"Digital records hosted on a blockchain that are associated with a digital or physical asset or product but that are distinct from that asset or product. These tokens may be treated as (i) services if they convey no ownership rights and only allow for personal use of another asset or commodity; (ii) nonproduced nonfinancial assets in cases that they grant limited ownership rights from which the owner can derive economic benefits; or (iii) a digital recording of ownership similar to a property title, not a separate asset, if they convey full ownership rights.",IMF
N/A,Non-life insurance,"Insurance providing cover to the policyholder against loss or damage suffered as a result of accidents, sickness, fire, and so on. It also includes term life insurance.",IMF
N/A,Non–life insurance claims,"The amounts payable in settlement of injuries or damages that result from an event covered by the non-life insurance (or reinsurance) policy occurring in the period for which the policy is valid. In the case of major catastrophic events, some proportion of the claims may be recorded as capital transfers.",IMF
N/A,Non–life insurance claims outstanding,"Claims related to non-life insurance (or reinsurance) that have not yet been reported, have been reported but not yet settled, or have been both reported and settled but not yet paid.",IMF
N/A,"Non–life insurance premium supplements / Non–life insurance premiums, supplements",Investment income earned from the investment of the (non-life) insurance technical reserves excluding any holding gains and losses. The amounts involved cover earnings forgone by the insurance policyholders by putting the funds at the disposal of the insurance corporation.,IMF
N/A,"Non–life insurance premiums, actual","Actual amount payable to the direct insurer or reinsurer to secure insurance cover for a specific event over a stated time period, as covered by a non–life insurance (or reinsurance) policy. ",IMF
N/A,"Non–life insurance premiums, actual (earned) / Actual non–life insurance premium earned",The part of actual non–life insurance premiums that relates to insurance cover provided in the accounting period.,IMF
N/A,"Non–life insurance premiums, actual (unearned) / Actual non–life insurance premium unearned",The part of actual non–life insurance premiums that relates to insurance cover provided in the period past the accounting point.,IMF
N/A,Non–life insurance premiums less service charges,The sum of actual non–life insurance (or reinsurance) premiums payable by policyholders to obtain insurance cover during the accounting period (actual premiums earned) and the premium supplements payable out of the investment income attributed to insurance policyholders less the service charges payable to the insurance corporation.,IMF
N/A,Non–life insurance technical reserves,Reserves related to non-life insurance (and reinsurance) consisting of prepayments of non–life insurance premiums less service charges and reserves to meet outstanding non–life insurance claims.,IMF
N/A,Non–money market investment fund,"Collective investment schemes that raise funds by issuing shares or units to the public and investing, on their own account, predominantly in longer-term financial assets, such as equity shares, bonds, and mortgage loans and nonfinancial assets.",IMF
N/A,Non–money market investment fund shares/units,Shares or units issued by non–money market funds that represent claims on part of the value of an established non–money market investment fund.,IMF
N/A,Non-pension social benefits,"Social benefits payable to individuals that are not pensions but paid when the relevant individuals are, for example, temporarily unemployed, suffering from a medical condition, or suffering from an event that prevents them from working for a period.",IMF
N/A,Noncultivated biological resources yielding once-only products,"Animal resources and tree, crop, and plant resources that yield once-only products over which ownership rights, often collectively by the government, are enforced but for which natural growth or regeneration is not under the direct control, responsibility, and management of institutional units. An example relates to fish in open waters but could also include herding wild animals.",IMF
N/A,Nondeductible value added tax (VAT),"VAT payable by a purchaser that is not deductible from his own VAT liability, if any.",IMF
N/A,Nonfinancial accounts,"Total of accounts representing production, generation of earned income, distribution of earned and transfer income, use of income, and accumulation of capital via capital transfers and purchases, less disposals, of nonfinancial assets. In the context of external accounts, nonfinancial accounts include the current and capital accounts.",IMF
N/A,Nonfinancial assets,Assets other than financial assets.,IMF
N/A,Nonfinancial corporations,Institutional units whose principal activity is the production of market goods or nonfinancial services.,IMF
N/A,Nonfinancial intermediation services (relevant for BPM),"Fees or commissions related to transactions in goods, services, and nonproduced nonfinancial assets payable to merchants, commodity brokers, dealers, auctioneers, and commission agents as well as nonfinancial digital intermediation platforms.",IMF
N/A,Nonmarket output,"Goods and individual or collective services produced by the government, the central bank, and NPISHs that are supplied free, or at prices that are not economically significant, to other institutional units or the community as a whole.",IMF
N/A,Nonmarket producers,"Establishments owned by government units, the central bank, or NPISHs that supply goods or services free, or at prices that are not economically significant, to households or the community as a whole.",IMF
N/A,Nonmonetary gold,"Gold bullion not held as reserve assets. It is a nonfinancial asset. In national accounts, stocks and flows of nonmonetary gold are recorded in the capital account. In external accounts, cross-border transactions are recorded in the goods account under nonmonetary gold, while stocks are not recorded.",IMF
N/A,Nonmonetary transactions,Transactions that are not initially stated in units of currency.,IMF
N/A,Nonobserved economy,Economic activity missing from statistical data collections and from administrative sources. Conceptually included are illegal activities where the parties are willing partners in an economic transaction; hidden and underground activities where the transactions themselves are not against the law but are unreported to avoid official scrutiny; and activities described as “informal” and typically where no records are kept.,IMF
N/A,Nonparticipating preferred shares / Non–participating preferred stocks,Shares or stocks that pay a fixed income but do not provide for participation in the distribution of the residual value of an incorporated enterprise on dissolution and so are classified as debt securities.,IMF
N/A,Nonperforming loans,"Loans for which payments of interest and principal are past due by ninety days or more; or interest payments equal to ninety days or more have been capitalized or delayed by agreement; or evidence exists to reclassify a loan as nonperforming even in the absence of a ninety-day past due payment, such as when the debtor files for bankruptcy.",IMF
N/A,Nonproduced nonfinancial assets (excluding nonproduced natural resources),"Nonfinancial assets that have come into existence in ways other than through processes of production, excluding nonproduced natural resources. They consist of contracts, leases, and licenses; crypto assets without a corresponding liability; purchased goodwill; and marketing assets.",IMF
N/A,Nonprofit institutions,"Legal or social entities created for the purpose of producing goods and services but whose status does not permit them to be a source of income, profit, or other financial gain for the units that establish, control, or finance them.",IMF
N/A,Nonprofit institutions serving households (NPISHs),"Nonprofit institutions principally engaged in the production of nonmarket services, which are not controlled by the government.",IMF
N/A,Nonrenewable mineral and energy resources,"Known deposits of nonrenewable oil resources, natural gas resources, coal and peat resources, nonmetallic minerals, and metallic minerals, located on or below the earth’s surface, which are economically exploitable, given current technology and relative prices.",IMF
N/A,Notional resident units,Institutional units identified for statistical purposes to be the resident owner of immovable assets legally owned by nonresidents.,IMF
N/A,Notional value of a financial derivative,"The amount underlying a financial derivative contract that is necessary for calculating payments or receipts on the contract, sometimes called notional amount or nominal amount of a financial derivative.",IMF
N/A,Observable phenomena related to data,"A fact or situation whose characteristics or attributes may be recorded for the collection of data. Observable phenomena are, by nature, nonproduced and are generally not part of the SNA asset boundary.",IMF
N/A,Off-market swaps,"Swaps that have nonzero values at inception as a result of having prices not based on current market values—that is, “off-the-market.”",IMF
N/A,Offshore bank,A deposit-taking corporation established in jurisdictions that provide legal and fiscal advantages such as low or no taxation and less stringent regulations in terms of reserve requirements or foreign exchange restrictions. They engage exclusively (or almost exclusively) with nonresidents.,IMF
N/A,Offshore financial centers,Jurisdictions in which the majority of the financial transactions are conducted by resident financial corporations on behalf of clients who reside outside the offshore financial center.,IMF
N/A,On-balance-sheet securitization,Debt securities backed by a future revenue stream generated by underlying assets. The latter assets remain on the balance sheet of the debt securities issuer (the original owner of the underlying assets) typically as a separate portfolio. There is no securitization unit involved.,IMF
N/A,On-lending,"Arrangement where an institutional unit A borrowing from another institutional unit B and then on-lending the proceeds from this borrowing to a third institutional unit C, where it is understood that unit A obtains an effective financial claim on unit C.",IMF
N/A,One-off guarantees,Guarantees where the debt instrument is so particular that it is not possible to calculate the degree of risk associated with the debt with any degree of accuracy.,IMF
N/A,Operating lease / Operational lease,"Contract between a lessor and a lessee, under which the lessor charges a rental to the lessee for the use of a produced nonfinancial asset, and the lessor remains the legal and economic owner of the asset.",IMF
N/A,Operating leasing services (relevant for BPM),Services associated with renting out produced assets under arrangements that provide use of a tangible asset to the lessee but do not involve the transfer of the bulk of risks and rewards of ownership to the lessee.,IMF
N/A,Operating surplus,The income earned by resident corporations from the use of their capital in the production of goods and services during an accounting period.,IMF
N/A,Option-type contracts / Options,"Contracts that give the purchaser of the option the right, but not the obligation, to buy (a “call” option) or to sell (a “put” option) a particular financial or nonfinancial item at a predetermined price (the “strike” price) either within a given time span (American option) or on a given date (European option).",IMF
N/A,Original maturity,Period from the issue date of a financial instrument until the final contractually scheduled payment date.,IMF
N/A,Other accounts receivable/payable (relevant for BPM),"Miscellaneous other items receivable or payable such as liabilities for taxes, emissions permits, cash collateral received by non–deposit taking corporations (except those for reverse transactions), purchase and sale of securities, securities lending fees, gold loan fees, crypto lending fees, wages and salaries, dividends, and social contributions that have accrued but have not yet been paid. It also includes prepayments of those items.",IMF
N/A,Other accounts receivable/payable (relevant for SNA),Trade credit and advances and miscellaneous other items due to be paid or received.,IMF
N/A,Other accounts receivable/payable n.e.c. (relevant for SNA),Financial claims arising from timing differences between distributive transactions or financial transactions on the secondary market and the corresponding payments.,IMF
N/A,Other buildings and structures,"Nonresidential buildings, other structures, and land improvements.",IMF
N/A,Other business services (relevant for BPM),"Distribution services related to water, steam, gas, and other petroleum products and air-conditioning supply, where these are identified separately from transmission services; placement of personnel, security, and investigative services; translation and interpretation; photographic services; publishing; building cleaning; and real estate services. Also included are forfeited down payments not able to be specified to any other service.",IMF
N/A,Other capital transfers,"All capital transfers except capital taxes, investment grants, and debt forgiveness.",IMF
N/A,Other changes in assets and liabilities / Other flows / Other economic flows,"Changes in the value of assets and liabilities not due to transactions. They consist of other changes in the volume of assets and liabilities and revaluations. In external accounts, the other changes in assets and liabilities are restricted to those relating to financial assets and liabilities.",IMF
N/A,Other changes in the volume of assets and liabilities,"Changes in the value of assets and liabilities that are neither due to transactions nor due to holding gains and losses (revaluations). They include, among others, economic appearance and disappearance of nonproduced assets, catastrophic losses, cancellations and write-offs of debt, uncompensated seizures, reclassifications, and changes in financial assets and liabilities arising from units changing their economy of residence. In external accounts, the other changes in the volume of assets and liabilities are restricted to those relating to financial assets and liabilities.",IMF
N/A,Other current taxes,"Current taxes on income, wealth, and so on excluding the taxes on income, profits, and capital gains.",IMF
N/A,Other current transfers,"All current transfers other than current taxes on income, wealth, and so on; social contributions and social benefits; and social transfers in kind. In external accounts, all current transfers other than personal transfers are included in other current transfers.",IMF
N/A,Other depository corporation (relevant for MFS),A financial corporation (other than the central bank) that incurs liabilities included in broad money.,IMF
N/A,Other deposits / Non–transferable deposits,Claims other than transferable deposits that are represented by evidence of deposit.,IMF
N/A,Other equity and equity in international organizations,"All forms of equity other than listed and unlisted shares. In the case of equity in international organizations, it also includes non-tradable shares.",IMF
N/A,Other ESG debt securities,"All ESG debt securities other than social, green, sustainability, and sustainability-linked debt securities.",IMF
N/A,Other financial corporations,"Corporations and quasi-corporations, except the central bank and other deposit-taking corporations, that are principally engaged in providing financial services to other institutional units. In monetary and financial statistics, other financial corporations are defined as financial corporations that do not issue liabilities included in broad money.",IMF
N/A,Other financial intermediaries except insurance corporations and pension funds,"Institutional units principally engaged in providing financial services by incurring liabilities, in forms other than currency, deposits, or close substitutes for deposits, on their own account for the purpose of acquiring financial assets by engaging in financial transactions on the market and that are not included in another subsector.",IMF
N/A,Other intellectual property products,"Intellectual property products that are not captured as research and development; mineral exploration and evaluation; computer software; data and databases; or entertainment, literary, and artistic originals.",IMF
N/A,Other investment (relevant for BPM),"A residual category that includes flows and positions other than those included in direct investment, portfolio investment, financial derivatives and employee stock options, and reserve assets.",IMF
